"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9783","C","Joel","Anthony","3.3","8","3500","DET@IND","DET","IND","","","",""
"9739","C","JaVale","McGee","9.1","14","3500","NO@DAL","DAL","NO","","","",""
"9734","SF","Mike","Miller","5.3","25","3500","DEN@GS","DEN","GS","","","",""
"16301","C","Dewayne","Dedmon","10.4","20","3500","ORL@CLE","ORL","CLE","","","",""
"9758","SG","Danny","Green","15.5","34","3500","HOU@SA","SA","HOU","","","",""
"9751","PG","Toney","Douglas","11.5","18","3500","NO@DAL","NO","DAL","","","",""
"37931","C","Aron","Baynes","10.6","32","3500","DET@IND","DET","IND","","","",""
"64017","C","Salah","Mejri","2.2","5","3500","NO@DAL","DAL","NO","","","",""
"16335","SG","John","Jenkins","5.4","15","3500","NO@DAL","DAL","NO","","","",""
"16348","SG","Darrun","Hilliard","3.5","10","3500","DET@IND","DET","IND","","","",""
"15864","PF","Adreian","Payne","7.1","24","3500","MIL@MIN","MIN","MIL","","","",""
"9804","C","Alexis","Ajinca","11","23","3500","NO@DAL","NO","DAL","","","",""
"55376","SF","Damjan","Rudez","3.4","15","3500","MIL@MIN","MIN","MIL","","","",""
"16363","SG","Joe","Harris","1.7","5","3500","ORL@CLE","CLE","ORL","","","",""
"9796","SF","Luc Richard","Mbah a Moute","6","32","3500","PHI@LAC","LAC","PHI","","","",""
"16378","SG","Erick","Green","0.9","3","3500","DEN@GS","DEN","GS","","","",""
"9895","SF","Steve","Novak","2.9","5","3500","OKC@CHA","OKC","CHA","","","",""
"17491","SF","James","Ennis","3.7","8","3500","MEM@UTA","MEM","UTA","","","",""
"23447","PF","Richaun","Holmes","11.1","25","3500","PHI@LAC","PHI","LAC","","","",""
"15631","SF","Hollis","Thompson","15.2","34","3500","PHI@LAC","PHI","LAC","O","Eye","",""
"58661","SG","Rashad","Vaughn","4.2","26","3500","MIL@MIN","MIL","MIN","","","",""
"16183","SF","Jakarr","Sampson","10.4","34","3500","PHI@LAC","PHI","LAC","","","",""
"16202","PF","Rakeem","Christmas","0","24","3500","DET@IND","IND","DET","","","",""
"9449","PF","Josh","Smith","14.4","29","3500","PHI@LAC","LAC","PHI","","","",""
"9461","PF","Kevin","Garnett","13.2","28","3500","MIL@MIN","MIN","MIL","","","",""
"9463","C","Kendrick","Perkins","6.7","8","3500","NO@DAL","NO","DAL","","","",""
"9942","SF","Chase","Budinger","10","32","3500","DET@IND","IND","DET","","","",""
"20805","SG","Troy","Daniels","3.3","13","3500","OKC@CHA","CHA","OKC","","","",""
"9940","PF","Dante","Cunningham","9.7","32","3500","NO@DAL","NO","DAL","","","",""
"17462","SG","Chris","Johnson","4.1","22","3500","MEM@UTA","UTA","MEM","","","",""
"9466","PG","D.J.","Augustin","8.7","31","3500","OKC@CHA","OKC","CHA","","","",""
"15699","SG","Roy Devyn","Marble","0.9","6","3500","ORL@CLE","ORL","CLE","","","",""
"9496","PG","Jason","Terry","9.5","27","3500","HOU@SA","HOU","SA","","","",""
"12391","PF","Jeremy","Evans","4.6","23","3500","NO@DAL","DAL","NO","","","",""
"58081","PG","Tyus","Jones","7.7","7","3500","MIL@MIN","MIN","MIL","","","",""
"15542","PG","Spencer","Dinwiddie","7.7","9","3500","DET@IND","DET","IND","","","",""
"9490","C","Anderson","Varejao","6.3","23","3500","ORL@CLE","CLE","ORL","","","",""
"15548","SG","Andre","Roberson","12.9","32","3500","OKC@CHA","OKC","CHA","","","",""
"15532","SF","K.J.","McDaniels","3.2","10","3500","HOU@SA","HOU","SA","","","",""
"9529","SG","Anthony","Morrow","8.3","31","3500","OKC@CHA","OKC","CHA","","","",""
"12353","C","Tibor","Pleiss","1","5","3500","MEM@UTA","UTA","MEM","","","",""
"23098","SF","Kostas","Papanikolaou","6.1","24","3500","DEN@GS","DEN","GS","","","",""
"9520","PF","Charlie","Villanueva","11","30","3500","NO@DAL","DAL","NO","","","",""
"16059","SG","Jared","Cunningham","6.4","24","3500","ORL@CLE","CLE","ORL","","","",""
"9518","SF","Tayshaun","Prince","7.2","33","3500","MIL@MIN","MIN","MIL","","","",""
"12368","SF","Nemanja","Bjelica","12.1","28","3500","MIL@MIN","MIN","MIL","","","",""
"12369","SG","Lance","Stephenson","9.4","31","3500","PHI@LAC","LAC","PHI","","","",""
"14532","SF","Kyle","Singler","5","24","3500","OKC@CHA","OKC","CHA","","","",""
"18352","PG","Ray","McCallum","4.5","14","3500","HOU@SA","SA","HOU","","","",""
"9559","SF","Rasual","Butler","6.1","24","3500","HOU@SA","SA","HOU","","","",""
"9549","SG","Brandon","Rush","9.9","24","3500","DEN@GS","GS","DEN","","","",""
"9551","PF","Tyler","Hansbrough","5.5","17","3500","OKC@CHA","CHA","OKC","","","",""
"15591","C","Miles","Plumlee","6.6","21","3500","MIL@MIN","MIL","MIN","","","",""
"9540","C","Chuck","Hayes","6.8","2","3500","HOU@SA","HOU","SA","","","",""
"12828","SF","Elijah","Millsap","5.9","20","3500","MEM@UTA","UTA","MEM","","","",""
"12348","SF","Wesley","Johnson","10.6","34","3500","PHI@LAC","LAC","PHI","","","",""
"12349","SF","Luke","Babbitt","9.2","17","3500","NO@DAL","NO","DAL","","","",""
"9539","PF","Carl","Landry","15.4","3","3500","PHI@LAC","PHI","LAC","","","",""
"9580","PF","Darrell","Arthur","14.5","30","3500","DEN@GS","DEN","GS","","","",""
"15560","PG","Shabazz","Napier","8.2","28","3500","ORL@CLE","ORL","CLE","","","",""
"15417","SG","Solomon","Hill","6.9","16","3500","DET@IND","IND","DET","","","",""
"11104","SF","Alonzo","Gee","9.9","32","3500","NO@DAL","NO","DAL","","","",""
"18828","SG","Joseph","Young","2.9","11","3500","DET@IND","IND","DET","","","",""
"23799","PF","Mitch","McGary","3.3","6","3500","OKC@CHA","OKC","CHA","","","",""
"42664","PG","Aaron","Harrison","2.6","5","3500","OKC@CHA","CHA","OKC","","","",""
"23801","SG","Nik","Stauskas","12.7","32","3500","PHI@LAC","PHI","LAC","","","",""
"18821","SG","Jonathon","Simmons","9.5","20","3500","HOU@SA","SA","HOU","","","",""
"23800","SF","Glenn","Robinson III","6.9","18","3500","DET@IND","IND","DET","","","",""
"23776","PF","Montrezl","Harrell","6.3","17","3500","HOU@SA","HOU","SA","","","",""
"15405","PF","JaMychal","Green","12.6","34","3500","MEM@UTA","MEM","UTA","","","",""
"9606","SF","Corey","Brewer","13.4","34","3500","HOU@SA","HOU","SA","","","",""
"9649","PF","Nick","Collison","7.8","29","3500","OKC@CHA","OKC","CHA","","","",""
"9654","SF","Vince","Carter","8.4","17","3500","MEM@UTA","MEM","UTA","","","",""
"15925","PG","Phil (Flip)","Pressey","11.2","14","3500","PHI@LAC","PHI","LAC","","","",""
"23220","SF","Chris","Copeland","3.5","18","3500","MIL@MIN","MIL","MIN","","","",""
"23744","SF","Justin","Anderson","3.6","19","3500","NO@DAL","DAL","NO","","","",""
"40819","PF","Jarell","Martin","1","2","3500","MEM@UTA","MEM","UTA","","","",""
"23757","PG","Brian","Roberts","5.6","15","3500","OKC@CHA","CHA","OKC","","","",""
"9682","PG","Andre","Miller","9.5","15","3500","MIL@MIN","MIN","MIL","","","",""
"55061","SF","Damien","Inglis","2.9","7","3500","MIL@MIN","MIL","MIN","O","Ankle","",""
"15954","PG","Kendall","Marshall","10.1","8","3500","PHI@LAC","PHI","LAC","","","",""
"15955","PF","James Michael","McAdoo","5","25","3500","DEN@GS","GS","DEN","","","",""
"9669","PF","Jason","Smith","10.7","28","3500","ORL@CLE","ORL","CLE","","","",""
"15947","SF","Reggie","Bullock","1.1","16","3500","DET@IND","DET","IND","","","",""
"23716","SF","Kyle","Anderson","8.5","32","3500","HOU@SA","SA","HOU","","","",""
"9671","PF","Marreese","Speights","9.2","26","3500","DEN@GS","GS","DEN","","","",""
"42202","PF","Christian","Wood","8","14","3500","PHI@LAC","PHI","LAC","","","",""
"15951","SF","P.J.","Hairston","10.4","29","3500","OKC@CHA","CHA","OKC","","","",""
"23715","SG","Jordan","Adams","9","2","3500","MEM@UTA","MEM","UTA","O","Knee","",""
"23234","PG","Pablo","Prigioni","7.7","14","3500","PHI@LAC","LAC","PHI","","","",""
"9674","SG","Leandro","Barbosa","11.1","25","3500","DEN@GS","GS","DEN","GTD","Shoulder","",""
"12424","C","Timofey","Mozgov","13.4","27","3500","ORL@CLE","CLE","ORL","","","",""
"42689","PG","Tyler","Ennis","6.7","14","3500","MIL@MIN","MIL","MIN","","","",""
"23282","SF","Sam","Dekker","1.1","3","3500","HOU@SA","HOU","SA","O","Back","",""
"12423","C","Omer","Asik","9.1","25","3500","NO@DAL","NO","DAL","","","",""
"40208","PG","Raul","Neto","11","30","3500","MEM@UTA","UTA","MEM","","","",""
"66520","C","Sasha","Kaun","3","8","3500","ORL@CLE","CLE","ORL","","","",""
"17218","PF","Andrew","Nicholson","13.4","24","3500","ORL@CLE","ORL","CLE","","","",""
"9698","PF","Jason","Thompson","5.5","16","3500","DEN@GS","GS","DEN","","","",""
"9709","C","Matt","Bonner","4.5","13","3500","HOU@SA","SA","HOU","","","",""
"9706","SF","Richard","Jefferson","11","29","3500","ORL@CLE","CLE","ORL","","","",""
